Floor,Unit,Model,RMSE
7,2,SARIMA,33.979105756693656
7,2,RNN,28.646266125559876
7,2,LSTM,29.25627824541523
7,3,ETS,58.97747743650679
7,3,ARIMA,58.776006312371614
7,3,SARIMA,59.039104632747694
7,3,RNN,63.959282738104804
7,3,LSTM,62.76225178256207
7,4,ETS,20.9949383573423
7,4,ARIMA,21.447354444532674
7,4,SARIMA,21.107398191216348
7,4,RNN,21.992691386853583
7,4,LSTM,20.804755839475874
7,5,ETS,63.63597960042763
7,5,ARIMA,54.066636605757104
7,5,SARIMA,62.409387858567584
7,5,RNN,55.74331306137463
7,5,LSTM,57.24748488317664
8,1,ETS,47.683900206563465
8,1,ARIMA,44.87245572857856
8,1,SARIMA,46.52898169867023
8,1,RNN,44.119287638029846
8,1,LSTM,40.97555259211679
8,2,ETS,9.715512588274962
8,2,ARIMA,8.784705072291127
8,2,SARIMA,9.584837552010214
8,2,RNN,9.54162405970373
8,2,LSTM,9.337540900143779
8,3,ETS,21.42822569455935
8,3,ARIMA,21.95921298665947
8,3,SARIMA,21.758867164455534
8,3,RNN,22.026351535074816
8,3,LSTM,20.69040965842607
8,4,ETS,10.733899075196295
8,4,ARIMA,10.814176781494046
8,4,SARIMA,11.457223843255449
8,4,RNN,11.20550225126821
8,4,LSTM,10.96530814661999
8,5,ETS,22.157257828862434
8,5,ARIMA,20.531428460273858
8,5,SARIMA,22.221272083732234
8,5,RNN,20.889139779137658
8,5,LSTM,20.407010271863506
9,1,ETS,9.117763249419859
9,1,ARIMA,8.575869555501752
9,1,SARIMA,9.072535492763553
9,1,RNN,8.990792422277417
9,1,LSTM,8.70246535823097
9,2,ETS,45.552182400684345
9,2,ARIMA,43.898774730801314
9,2,SARIMA,45.951511921067016
9,2,RNN,42.18348238763756
9,2,LSTM,40.46652479274146
9,3,ETS,41.58261457963866
9,3,ARIMA,37.112326651733994
9,3,SARIMA,40.0307359538372
9,3,RNN,41.5156491729822
9,3,LSTM,40.15750859255091
9,4,ETS,12.16641291111392
9,4,ARIMA,12.219266460809196
9,4,SARIMA,11.956053317776094
9,4,RNN,12.83521191959752
9,4,LSTM,12.817553091717187
9,5,ETS,24.55329426410311
9,5,ARIMA,22.2904307939885
9,5,SARIMA,24.53056339822333
9,5,RNN,20.969656215652247
9,5,LSTM,21.056445181481752
10,1,ETS,59.44178334350924
10,1,ARIMA,59.81264336544383
10,1,SARIMA,60.918297239093334
10,1,RNN,61.61952381796781
10,1,LSTM,59.499914213597
10,2,ETS,28.86687383650144
10,2,ARIMA,27.085384337369852
10,2,SARIMA,28.293599802148233
10,2,RNN,25.898987106850388
10,2,LSTM,27.399134615036136
10,3,ETS,21.510738338931834
10,3,ARIMA,19.735821947373825
10,3,SARIMA,21.416558141990844
10,3,RNN,19.123782172828268
10,3,LSTM,18.287363873072298
10,4,ETS,22.917533469281757
10,4,ARIMA,22.32178153675345
10,4,SARIMA,24.853695902512612
10,4,RNN,21.134661083819324
10,4,LSTM,19.47510747031885
10,5,ETS,11.51702126993922
10,5,ARIMA,11.574085274983968
10,5,SARIMA,12.375603447759833
10,5,RNN,11.05781925720981
10,5,LSTM,10.663114198028527
